api_number,well_name,latitude,longitude,orig_operator,current_operator,elevation,elev_ref,total_depth,formation_at_td,producing_form,permit_issued,spud_date,comp_date,status
15-205-28524,HULETEEN 1-H,37.6175401,-95.5699261,"J-V Oil, LLC","J-V Oil, LLC",3, KB,1075,BARTLESVILLE,BARTLESVILLE,30-Nov-21,12-Jan-22,18-Mar-22,OIL
15-001-31696,HOEPKER ONE 8,37.8070046,-95.4025566,"Hoepker, Larry","Hoepker, Larry",944, GL,902,BARTLESVILLE,BARTLESVILLE,30-Nov-21,11-Jan-22,14-Jan-22,D&A
15-009-26325,PANNING 25 A #1,38.2883754,-98.8164708,"Darrah Oil Company, LLC","Darrah Oil Company, LLC",1904, KB,3560,ARBUCKLE,ARBUCKLE,23-Nov-21,26-Jan-22,19-Apr-22,OIL
15-053-21379,SVOBODA 1,38.6642964,-98.4568507,BEREXCO LLC,BEREXCO LLC,1917, KB,3474,ARBUCKLE,ARBUCKLE,13-Jan-22,31-Jan-22,8-Feb-22,D&A
15-009-26324,KELLER 25 C #1,38.2800358,-98.8261105,"Darrah Oil Company, LLC","Darrah Oil Company, LLC",1906, KB,3556,ARBUCKLE,ARBUCKLE,23-Nov-21,5-Jan-22,11-Feb-22,OIL
15-107-25385,OAKWOOD UNIT/WEBER 4A,38.149938,-95.0462992,"RJ Energy, LLC","RJ Energy, LLC",996, KB,838,BURGESS,BURGESS,21-Dec-21,19-Jan-22,24-Jan-22,OIL
15-107-25381,OAKWOOD UNIT/WEBER 2I,38.1499514,-95.0451692,"RJ Energy, LLC","RJ Energy, LLC",995, KB,811,BURGESS,BURGESS,21-Dec-21,25-Jan-22,26-Jan-22,EOR
15-107-25390,OAKWOOD UNIT/WEBER 3I,38.1517009,-95.0451901,"RJ Energy, LLC","RJ Energy, LLC",999, KB,826,BURGESS,BURGESS,21-Dec-21,4-Jan-22,5-Jan-22,EOR
15-107-25382,OAKWOOD UNIT/WEBER 7I,38.1526198,-95.0464278,"RJ Energy, LLC","RJ Energy, LLC",999, KB,811,BURGESS,BURGESS,21-Dec-21,3-Jan-22,4-Jan-22,EOR
15-107-25384,OAKWOOD UNIT/WEBER 6I,38.1508912,-95.04632,"RJ Energy, LLC","RJ Energy, LLC",998, KB,841,BURGESS,BURGESS,21-Dec-21,18-Jan-22,19-Jan-22,EOR
15-107-25383,OAKWOOD UNIT/WEBER 5A,38.1517694,-95.0462783,"RJ Energy, LLC","RJ Energy, LLC",996, KB,834,BURGESS,BURGESS,21-Dec-21,5-Jan-22,10-Jan-22,OIL
15-107-25386,OAKWOOD UNIT/WEBER 5I,38.1489899,-95.0462401,"RJ Energy, LLC","RJ Energy, LLC",987, KB,832,BURGESS,BURGESS,21-Dec-21,24-Jan-22,25-Jan-22,EOR
15-107-25389,OAKWOOD UNIT/WEBER 6A,38.1526014,-95.047596,"RJ Energy, LLC","RJ Energy, LLC",988, KB,826,BURGESS,BURGESS,21-Dec-21,14-Jan-22,17-Jan-22,OIL
15-203-20371,WHITHAM 44562,38.6109909,-101.365648,"Landmark Resources, Inc.","Landmark Resources, Inc.",3334, KB,4938,,,22-Dec-21,22-Jan-22,1-Feb-22,D&A
15-195-23130,CITIZEN KANE 1,38.8332186,-100.1492593,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2423, KB,4360,MISSISSIPPIAN,,22-Dec-21,8-Jan-22,15-Jan-22,D&A
15-101-22664,FAY 3,38.6809609,-100.2924532,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2596, KB,4555,MISSISSIPPIAN,,22-Dec-21,24-Jan-22,2-Feb-22,D&A
15-031-24544,INGWERSON 4IR,38.1177282,-95.68645,"RJ Energy, LLC","RJ Energy, LLC",1002, KB,1090,,,22-Dec-21,11-Jan-22,13-Jan-22,EOR
15-031-24545,INGWERSON 6IR,38.1201402,-95.6875675,"RJ Energy, LLC","RJ Energy, LLC",1004, KB,1088,,,22-Dec-21,13-Jan-22,19-Jan-22,EOR
15-199-20454,CLINE TRUST 44577,38.8318702,-101.8756077,"Stelbar Oil Corporation, Inc.","Stelbar Oil Corporation, Inc.",3744, KB,5220,MISSISSIPPIAN,MORROW,23-Nov-21,19-Jan-22,27-Jan-22,D&A
15-163-24447,ROBERTS 2,39.299192,-99.5804352,Denis Roberts Oil,Denis Roberts Oil,2122, KB,3731,ARBUCKLE,,3-Jan-22,29-Jan-22,3-Feb-22,D&A
15-191-22839,HARPER 44578,36.9996936,-97.6715928,Union Valley Petroleum Corporation,Union Valley Petroleum Corporation,1154, KB,4975,WILCOX,,3-Jan-22,20-Jan-22,9-Mar-22,O&G
15-191-22840,LINDA 44569,37.017895,-97.6564243,Union Valley Petroleum Corporation,Union Valley Petroleum Corporation,1163, KB,4856,WILCOX,,3-Jan-22,11-Jan-22,15-Mar-22,O&G
15-083-21998,UNFORGIVEN 1,38.1545595,-99.8773786,"Palomino Petroleum, Inc.","Palomino Petroleum, Inc.",2394, KB,4770,MISSISSIPPIAN,MISSISSIPPIAN,3-Jan-22,12-Jan-22,20-Jan-22,D&A
15-031-24547,INGWERSON 13A,38.1168723,-95.6846527,"RJ Energy, LLC","RJ Energy, LLC",999, KB,1090,,,22-Dec-21,27-Jan-22,31-Jan-22,OIL
15-207-29848,SCHORNICK 3,37.8984015,-95.641644,"Dvorachek, Harold A. dba Quest Development Co.",Quest Development Co.,1007, KB,1015,,,10-Jan-22,15-Jan-22,14-Feb-22,OIL
15-051-27024,BEFORT 44632,38.8481923,-99.383525,Downing-Nelson Oil Co Inc,Downing-Nelson Oil Co Inc,2203, KB,3905,ARBUCKLE,ARBUCKLE,26-Jan-22,15-Jan-22,22-Feb-22,D&A
15-001-31697,TALBOTT B-9,37.9119554,-95.207222,McFadden Oil Co.,McFadden Oil Co.,5, KB,880,BARTLESVILLE,Bartlesville,10-Jan-22,12-Jan-22,14-Jan-22,OIL
15-071-20898,MILLER 9D,38.3244679,-101.6392487,Brooks Range Corporation,Brooks Range Corporation,3531, KB,3167,CHASE,CHASE,16-Dec-21,17-Jan-22,9-Feb-22,GAS
15-189-20163-0001,FREDERICK DOLD 1,37.2972322,-101.3974271,Scout Energy Management LLC,Scout Energy Management LLC,3156, KB,2996,,,,31-Jan-22,10-Feb-22,GAS
15-025-20903-0001,STRIPLING A 44612,37.1520808,-99.9528862,"Midco Exploration, Inc.","Midco Exploration, Inc.",2037, KB,5450,,,,5-Jan-22,25-Jan-22,GAS
