"KID","API_NUMBER","API_NUM_NODASH","LEASE","WELL","FIELD","LATITUDE","LONGITUDE","LONG_LAT_SOURCE","TOWNSHIP","TWN_DIR","RANGE","RANGE_DIR","SECTION","SPOT","FEET_NORTH","FEET_EAST","FOOT_REF","ORIG_OPERATOR","CURR_OPERATOR","ELEVATION","ELEV_REF","DEPTH","FORMATION_AT_TOTAL_DEPTH","PRODUCE_FORM","IP_OIL","IP_GAS","IP_WATER","PERMIT","SPUD","COMPLETION","PLUGGING","MODIFIED","OIL_KID","OIL_DOR_ID","GAS_KID","GAS_DOR_ID","KCC_PERMIT","STATUS","STATUS2","COMMENTS"
"1052103538","15-205-28524","15205285240000","HULETEEN","1-H","ALTOONA","37.6175401","-95.5699261","Calc. from footages","28","S","17","E","8"," SW SW SW SE","270","-2320","SE","J-V Oil, LLC","J-V Oil, LLC","3"," KB","1075","BARTLESVILLE","BARTLESVILLE","","","","30-NOV-2021","12-JAN-2022","18-MAR-2022","","22-MAR-2022","","","","","","OIL","Producing",""
"1052103545","15-001-31696","15001316960000","HOEPKER ONE","8","","37.8070046","-95.4025566","Calc. from footages","26","S","18","E","2"," NE SE SW SE","505","-1638","SE","Hoepker, Larry","Hoepker, Larry","944"," GL","902","BARTLESVILLE","BARTLESVILLE","","","","30-NOV-2021","11-JAN-2022","14-JAN-2022","02-FEB-2022","04-MAR-2022","","","","","","D&A","Plugged and Abandoned",""
"1052103499","15-009-26325","15009263250000","PANNING 25 A","#1","PRITCHARD","38.2883754","-98.8164708","From GPS","20","S","14","W","25"," SE NE NW NE","-579","-1579","NE","Darrah Oil Company, LLC","Darrah Oil Company, LLC","1904"," KB","3560","ARBUCKLE","ARBUCKLE","","","","23-NOV-2021","26-JAN-2022","19-APR-2022","","25-MAY-2022","1052224453","147966","","","","OIL","Producing",""
"1052144443","15-053-21379","15053213790000","SVOBODA","1","STOLTENBERG","38.6642964","-98.4568507","Calc. from footages","16","S","10","W","17"," NE SE NW NW","-980","1310","NW","BEREXCO LLC","BEREXCO LLC","1917"," KB","3474","ARBUCKLE","ARBUCKLE","","","","13-JAN-2022","31-JAN-2022","08-FEB-2022","08-FEB-2022","16-FEB-2022","","","","","","D&A","Plugged and Abandoned",""
"1052103547","15-009-26324","15009263240000","KELLER 25 C","#1","PRITCHARD","38.2800358","-98.8261105","From GPS","20","S","14","W","25"," SW SE NW SW","1646","925","SW","Darrah Oil Company, LLC","Darrah Oil Company, LLC","1906"," KB","3556","ARBUCKLE","ARBUCKLE","","","","23-NOV-2021","05-JAN-2022","11-FEB-2022","","14-APR-2022","1052224452","147965","","","","OIL","Producing",""
"1052121383","15-107-25385","15107253850000","OAKWOOD UNIT/WEBER","4A","OAKWOOD RANCH","38.149938","-95.0462992","Calc. from footages","22","S","21","E","12"," NW NE SW NE","3873","-1884","SE","RJ Energy, LLC","RJ Energy, LLC","996"," KB","838","BURGESS","BURGESS","","","","21-DEC-2021","19-JAN-2022","24-JAN-2022","","11-MAR-2022","1046819226","147155","","","","OIL","Producing",""
"1052121381","15-107-25381","15107253810000","OAKWOOD UNIT/WEBER","2I","OAKWOOD RANCH","38.1499514","-95.0451692","From GPS","22","S","21","E","12","  NE SW NE","3883","-1559","SE","RJ Energy, LLC","RJ Energy, LLC","995"," KB","811","BURGESS","BURGESS","","","","21-DEC-2021","25-JAN-2022","26-JAN-2022","","02-JUN-2022","","","","","","EOR","Authorized Injection Well",""
"1052121388","15-107-25390","15107253900000","OAKWOOD UNIT/WEBER","3I","OAKWOOD RANCH","38.1517009","-95.0451901","From GPS","22","S","21","E","12","  SE NW NE","4520","-1565","SE","RJ Energy, LLC","RJ Energy, LLC","999"," KB","826","BURGESS","BURGESS","","","","21-DEC-2021","04-JAN-2022","05-JAN-2022","","02-JUN-2022","","","","","","EOR","Authorized Injection Well",""
"1052121372","15-107-25382","15107253820000","OAKWOOD UNIT/WEBER","7I","OAKWOOD RANCH","38.1526198","-95.0464278","From GPS","22","S","21","E","12","  NE NW NE","4849","-1921","SE","RJ Energy, LLC","RJ Energy, LLC","999"," KB","811","BURGESS","BURGESS","","","","21-DEC-2021","03-JAN-2022","04-JAN-2022","","02-JUN-2022","","","","","","EOR","Authorized Injection Well",""
"1052121382","15-107-25384","15107253840000","OAKWOOD UNIT/WEBER","6I","OAKWOOD RANCH","38.1508912","-95.04632","From GPS","22","S","21","E","12","  SE NW NE","4220","-1890","SE","RJ Energy, LLC","RJ Energy, LLC","998"," KB","841","BURGESS","BURGESS","","","","21-DEC-2021","18-JAN-2022","19-JAN-2022","","02-JUN-2022","","","","","","EOR","Authorized Injection Well",""
"1052121373","15-107-25383","15107253830000","OAKWOOD UNIT/WEBER","5A","OAKWOOD RANCH","38.1517694","-95.0462783","From GPS","22","S","21","E","12","  SE NW NE","4540","-1878","SE","RJ Energy, LLC","RJ Energy, LLC","996"," KB","834","BURGESS","BURGESS","","","","21-DEC-2021","05-JAN-2022","10-JAN-2022","","11-MAR-2022","1046819226","147155","","","","OIL","Producing",""
"1052121384","15-107-25386","15107253860000","OAKWOOD UNIT/WEBER","5I","OAKWOOD RANCH","38.1489899","-95.0462401","From GPS","22","S","21","E","12","  NE SW NE","3528","-1867","SE","RJ Energy, LLC","RJ Energy, LLC","987"," KB","832","BURGESS","BURGESS","","","","21-DEC-2021","24-JAN-2022","25-JAN-2022","","02-JUN-2022","","","","","","EOR","Authorized Injection Well",""
"1052121387","15-107-25389","15107253890000","OAKWOOD UNIT/WEBER","6A","OAKWOOD RANCH","38.1526014","-95.047596","Calc. from footages","22","S","21","E","12"," SE NW NW NE","4837","-2257","SE","RJ Energy, LLC","RJ Energy, LLC","988"," KB","826","BURGESS","BURGESS","","","","21-DEC-2021","14-JAN-2022","17-JAN-2022","","11-MAR-2022","1046819226","147155","","","","OIL","Producing",""
"1052121798","15-203-20371","15203203710000","WHITHAM","1-1","UNNAMED","38.6109909","-101.365648","Calc. from footages","17","S","37","W","1"," SE NW NW NW","-463","537","NW","Landmark Resources, Inc.","Landmark Resources, Inc.","3334"," KB","4938","","","","","","22-DEC-2021","22-JAN-2022","01-FEB-2022","31-JAN-2022","10-MAR-2022","","","","","","D&A","Plugged and Abandoned",""
"1052121799","15-195-23130","15195231300000","CITIZEN KANE","1","","38.8332186","-100.1492593","Calc. from footages","14","S","25","W","18"," NE SW NW SW","1916","653","SW","Palomino Petroleum, Inc.","Palomino Petroleum, Inc.","2423"," KB","4360","MISSISSIPPIAN","","","","","22-DEC-2021","08-JAN-2022","15-JAN-2022","16-JAN-2022","06-APR-2022","","","","","","D&A","Plugged and Abandoned",""
"1052121808","15-101-22664","15101226640000","FAY","3","","38.6809609","-100.2924532","Calc. from footages","16","S","27","W","10"," NW SW NW NE","-836","-2566","NE","Palomino Petroleum, Inc.","Palomino Petroleum, Inc.","2596"," KB","4555","MISSISSIPPIAN","","","","","22-DEC-2021","24-JAN-2022","02-FEB-2022","03-FEB-2022","05-APR-2022","","","","","","D&A","Plugged and Abandoned",""
"1052121802","15-031-24544","15031245440000","INGWERSON","4IR","","38.1177282","-95.68645","Calc. from footages","22","S","16","E","19"," SE NW NE SE","2232","-927","SE","RJ Energy, LLC","RJ Energy, LLC","1002"," KB","1090","","","","","","22-DEC-2021","11-JAN-2022","13-JAN-2022","","24-FEB-2022","","","","","","EOR","Inactive Well",""
"1052121803","15-031-24545","15031245450000","INGWERSON","6IR","","38.1201402","-95.6875675","Calc. from footages","22","S","16","E","19"," SW SW SE NE","3107","-1245","SE","RJ Energy, LLC","RJ Energy, LLC","1004"," KB","1088","","","","","","22-DEC-2021","13-JAN-2022","19-JAN-2022","","24-FEB-2022","","","","","","EOR","Inactive Well",""
"1052103522","15-199-20454","15199204540000","CLINE TRUST","1-16","UNNAMED","38.8318702","-101.8756077","Calc. from footages","14","S","41","W","16"," NE NE SW SE","1134","-1332","SE","Stelbar Oil Corporation, Inc.","Stelbar Oil Corporation, Inc.","3744"," KB","5220","MISSISSIPPIAN","MORROW","","","","23-NOV-2021","19-JAN-2022","27-JAN-2022","27-JAN-2022","30-MAR-2022","","","","","","D&A","Plugged and Abandoned",""
"1052126872","15-163-24447","15163244470000","ROBERTS","2","Arpin","39.299192","-99.5804352","Calc. from footages","9","S","20","W","5","  NW NE SW","2310","-3630","SE","Denis Roberts Oil","Denis Roberts Oil","2122"," KB","3731","ARBUCKLE","","","","","03-JAN-2022","29-JAN-2022","03-FEB-2022","03-FEB-2022","30-MAR-2022","","","","","","D&A","Plugged and Abandoned",""
"1052126874","15-191-22839","15191228390000","HARPER","1-17","CALDWELL","36.9996936","-97.6715928","Calc. from footages","35","S","3","W","17","    SW","353","336","SW","Union Valley Petroleum Corporation","Union Valley Petroleum Corporation","1154"," KB","4975","WILCOX","","","","","03-JAN-2022","20-JAN-2022","09-MAR-2022","","05-APR-2022","1052432559","148029","1052431897","234889","","O&G","Producing",""
"1052126875","15-191-22840","15191228400000","LINDA","1-8","CALDWELL NORTH","37.017895","-97.6564243","Calc. from footages","35","S","3","W","8"," SW SE SE NE","-2390","-504","NE","Union Valley Petroleum Corporation","Union Valley Petroleum Corporation","1163"," KB","4856","WILCOX","","","","","03-JAN-2022","11-JAN-2022","15-MAR-2022","","05-APR-2022","1052432558","148028","1052431856","234888","","O&G","Producing",""
"1052126876","15-083-21998","15083219980000","UNFORGIVEN","1","NOVA NORTH","38.1545595","-99.8773786","Calc. from footages","22","S","23","W","8"," NW SE SW NW","-2300","817","NW","Palomino Petroleum, Inc.","Palomino Petroleum, Inc.","2394"," KB","4770","MISSISSIPPIAN","MISSISSIPPIAN","","","","03-JAN-2022","12-JAN-2022","20-JAN-2022","22-JAN-2022","05-APR-2022","","","","","","D&A","Plugged and Abandoned",""
"1052121805","15-031-24547","15031245470000","INGWERSON","13A","","38.1168723","-95.6846527","Calc. from footages","22","S","16","E","19"," NW SE NE SE","1926","-411","SE","RJ Energy, LLC","RJ Energy, LLC","999"," KB","1090","","","","","","22-DEC-2021","27-JAN-2022","31-JAN-2022","","24-FEB-2022","1001106540","100385","","","","OIL","Producing",""
"1052136673","15-207-29848","15207298480000","SCHORNICK","3","UNNAMED","37.8984015","-95.641644","Calc. from footages","25","S","16","E","3"," NW SW NE SW","1907","1485","SW","Dvorachek, Harold A. dba Quest Development Co.","Quest Development Co.","1007"," KB","1015","","","","","","10-JAN-2022","15-JAN-2022","14-FEB-2022","","22-JUN-2022","","","","","","OIL","Inactive Well",""
"1052190611","15-051-27024","15051270240000","BEFORT","3-12","RIDGE HILL","38.8481923","-99.383525","Calc. from footages","14","S","19","W","12","  NE NE SW","2310","2310","SW","Downing-Nelson Oil Co Inc","Downing-Nelson Oil Co Inc","2203"," KB","3905","ARBUCKLE","ARBUCKLE","","","","26-JAN-2022","15-JAN-2022","22-FEB-2022","22-FEB-2022","30-MAR-2022","","","","","","D&A","Plugged and Abandoned",""
"1052136667","15-001-31697","15001316970000","TALBOTT","B-9","MORAN","37.9119554","-95.207222","Calc. from footages","24","S","20","E","33"," NE SE NE SE","1750","-165","SE","McFadden Oil Co.","McFadden Oil Co.","5"," KB","880","BARTLESVILLE","Bartlesville","","","","10-JAN-2022","12-JAN-2022","14-JAN-2022","","23-FEB-2022","","","","","","OIL","Producing",""
"1052118219","15-071-20898","15071208980000","MILLER","9D","BRADSHAW","38.3244679","-101.6392487","Calc. from footages","20","S","39","W","9"," NE NW SW SW","1320","350","SW","Brooks Range Corporation","Brooks Range Corporation","3531"," KB","3167","CHASE","CHASE","","","","16-DEC-2021","17-JAN-2022","09-FEB-2022","","30-MAR-2022","","","","","","GAS","Producing",""
"1052118222","15-189-20163-0001","15189201630001","FREDERICK DOLD","1","","37.2972322","-101.3974271","Calc. from footages","32","S","38","W","1","    NE","3960","-1320","SE","Scout Energy Management LLC","Scout Energy Management LLC","3156"," KB","2996","","","","","","","31-JAN-2022","10-FEB-2022","","16-FEB-2022","","","","","","GAS","Producing",""
"1052420217","15-025-20903-0001","15025209030001","STRIPLING A","2-20","","37.1520808","-99.9528862","From GPS","33","S","24","W","20","  SW SW SE","357","-2351","SE","Midco Exploration, Inc.","Midco Exploration, Inc.","2037"," KB","5450","","","","","","","05-JAN-2022","25-JAN-2022","","23-MAR-2022","","","","","","GAS","Producing",""
"1052627858","15-081-21000-0002","15081210000002","RAY C","3","","37.5130952","-101.0364503","From GPS","29","S","34","W","21","   SE NE","3321","-565","SE","Pantera Energy Company","Pantera Energy Company","2988"," KB","5590","","","","","","","03-JAN-2022","18-JAN-2022","","28-JUN-2022","","","","","","OIL","Producing",""
"1052185559","15-001-31699","15001316990000","CLINE","51","IOLA","37.9647857","-95.4306391","From GPS","24","S","18","E","16","  NW NE NE","4935","-993","SE","Colt Energy Inc","Colt Energy Inc","1070"," KB","1031","MISSISSIPPIAN","BARTLESVILLE","","","","24-JAN-2022","27-JAN-2022","14-APR-2022","","18-APR-2022","","","","","","OIL","Producing",""
"1052141437","15-151-22541","15151225410000","OLIVIA","#1","UNNAMED","37.4930589","-98.9944399","Calc. from footages","29","S","15","W","30"," E2 SE SE NE","-2310","-120","NE","Griffin, Charles N.","Griffin, Charles N.","2040"," KB","4900","SIMPSON","Mississippian","","","","12-JAN-2022","21-JAN-2022","04-FEB-2022","","06-JUN-2022","1052421198","148022","","","","OIL","Producing",""
"1052185581","15-195-23131","15195231310000","SFN","1","SPLITTER SOUTHWEST","38.7144924","-100.1318835","Calc. from footages","15","S","25","W","29"," NW NE SW SW","1020","845","SW","Palomino Petroleum, Inc.","Palomino Petroleum, Inc.","2522"," KB","4555","MISSISSIPPIAN","MISSISSIPPIAN","","","","24-JAN-2022","31-JAN-2022","08-FEB-2022","01-APR-2022","19-APR-2022","","","","","","OIL-P&A","Plugged and Abandoned",""
"1052185580","15-135-26149","15135261490000","REBEL ALLIANCE","1","","38.3981219","-100.0576719","Calc. from footages","19","S","25","W","14"," SW NW NE SW","2203","1397","SW","Palomino Petroleum, Inc.","Palomino Petroleum, Inc.","2398"," KB","4530","MISSISSIPPIAN","MISSISSIPPIAN","","","","24-JAN-2022","31-JAN-2022","01-MAR-2022","","06-APR-2022","1052420228","148018","","","","OIL","Producing",""
"1052159655","15-051-25327-0002","15051253270002","WIELAND UNIT","1-21","","38.9584581","-99.0397995","From GPS","12","S","16","W","36","  SE SE SE","121","-343","SE","Citation Oil & Gas Corp.","Citation Oil & Gas Corp.","1883"," KB","3350","","","","","","","04-JAN-2022","13-JAN-2022","","28-JAN-2022","","","","","E10416.19","EOR","Authorized Injection Well",""
"1052141436","15-135-26147","15135261470000","THE MAN WITH THE GOLDEN GUN","1","ALICURI","38.4350005","-100.1107147","Calc. from footages","19","S","25","W","5"," W2 NE NE NW","-330","2225","NW","Palomino Petroleum, Inc.","Palomino Petroleum, Inc.","2484"," KB","4575","MISSISSIPPIAN","MISSISSIPPIAN","","","","12-JAN-2022","20-JAN-2022","25-JAN-2022","26-JAN-2022","06-APR-2022","","","","","","D&A","Plugged and Abandoned",""
"1052159662","15-179-21476","15179214760000","SCHROEDER 35","3-35","","39.4894245","-100.408869","From GPS","6","S","28","W","35"," N2 S2 S2 NE","-2100","-1320","NE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","2708"," KB","4200","","LANSING","","","","19-JAN-2022","27-JAN-2022","15-MAR-2022","","23-AUG-2022","","","","","","OIL","Producing",""
"1052420192","15-057-20573-0001","15057205730001","CARSON 20B","1","","37.6898599","-99.8647185","From GPS","27","S","23","W","20"," SW NW NE NW","4837","-3676","SE","Ritchie Exploration, Inc.","Ritchie Exploration, Inc.","2441"," KB","5900","","","","","","","14-JAN-2022","11-FEB-2022","","23-MAR-2022","1036285533","137897","1052425026","234887","","GAS","Producing",""
"1052414767","15-079-00400-0001","15079004000001","GINGRASS","4","","37.9619369","-97.2292654","From GPS","24","S","2","E","17","  NW NE SE","2310","-990","SE","SLO Oil, LLC","SLO Oil, LLC","1394"," KB","3500","","","","","","","17-JAN-2022","20-JAN-2022","","21-MAR-2022","","","","","","SWD","Authorized Injection Well",""
"1052172731","15-051-27023","15051270230000","RUSCO-DAVIS","7-36","STAR WEST","39.0517146","-99.4866345","Calc. from footages","11","S","20","W","36"," NE NE NW SE","2430","-1330","SE","Murfin Drilling Co., Inc.","Murfin Drilling Co., Inc.","2022"," KB","3701","ARBUCKLE","LANSING","","","","21-JAN-2022","22-JAN-2022","28-MAR-2022","","11-MAY-2022","","","","","","OIL","Producing",""
"1052113886","15-107-25377","15107253770000","OAKWOOD UNIT/WEBER","1I","OAKWOOD RANCH","38.1481218","-95.0451101","From GPS","22","S","21","E","12","  SE SW NE","3217","-1542","SE","RJ Energy, LLC","RJ Energy, LLC","985"," KB","811","BURGESS","BURGESS","","","","10-DEC-2021","12-JAN-2022","13-JAN-2022","","02-JUN-2022","","","","","","EOR","Authorized Injection Well",""
"1052113887","15-107-25378","15107253780000","OAKWOOD UNIT/BALL","4I","OAKWOOD RANCH","38.1517378","-95.0432987","Calc. from footages","22","S","21","E","12"," NW SW NE NE","4542","-1021","SE","RJ Energy, LLC","RJ Energy, LLC","994"," KB","811","BURGESS","BURGESS","","","","10-DEC-2021","26-JAN-2022","27-JAN-2022","","02-JUN-2022","","","","","","EOR","Authorized Injection Well",""
"1052113929","15-107-25380","15107253800000","OAKWOOD UNIT/BALL","6I","OAKWOOD RANCH","38.1509364","-95.0422314","Calc. from footages","22","S","21","E","12"," SE SW NE NE","4255","-714","SE","RJ Energy, LLC","RJ Energy, LLC","986"," KB","808","BURGESS","BURGESS","","","","10-DEC-2021","10-JAN-2022","11-JAN-2022","","02-JUN-2022","","","","","","EOR","Authorized Injection Well",""
"1052113888","15-107-25379","15107253790000","OAKWOOD UNIT/BALL","5I","OAKWOOD RANCH","38.1499368","-95.0433335","Calc. from footages","22","S","21","E","12"," NW NW SE NE","3886","-1031","SE","RJ Energy, LLC","RJ Energy, LLC","996"," KB","824","BURGESS","BURGESS","","","","10-DEC-2021","11-JAN-2022","12-JAN-2022","","02-JUN-2022","","","","","","EOR","Authorized Injection Well",""
